# nhpx, l , b
227, 176.6806, -48.7852
228, 176.7038, -48.7694
229, 176.7052, -48.7550
230, 176.6820, -48.7708
231, 176.6835, -48.7564
232, 176.6573, -48.8009
233, 176.6588, -48.7866
234, 176.6355, -48.8023
235, 176.6370, -48.7879
236, 176.6602, -48.7722
237, 176.6617, -48.7578
238, 176.6385, -48.7736
239, 176.6399, -48.7592
240, 176.7067, -48.7406
241, 176.7081, -48.7263
242, 176.6849, -48.7420
243, 176.6864, -48.7277
244, 176.7095, -48.7119
245, 176.7110, -48.6975
246, 176.6878, -48.7133
247, 176.6892, -48.6989
248, 176.6632, -48.7434
249, 176.6646, -48.7290
250, 176.6414, -48.7448
251, 176.6429, -48.7304
252, 176.6661, -48.7147
253, 176.6675, -48.7003
254, 176.6443, -48.7161
255, 176.6458, -48.7017
256, 176.9730, -48.6661
257, 176.9744, -48.6517
258, 176.9513, -48.6675
259, 176.9527, -48.6531
260, 176.9757, -48.6373
261, 176.9771, -48.6229
262, 176.9541, -48.6387
263, 176.9554, -48.6244
264, 176.9296, -48.6689
265, 176.9310, -48.6546
266, 176.9079, -48.6704
267, 176.9093, -48.6560
268, 176.9324, -48.6402
269, 176.9337, -48.6258
270, 176.9107, -48.6416
271, 176.9120, -48.6272
272, 176.9785, -48.6085
273, 176.9798, -48.5941
274, 176.9568, -48.6100
275, 176.9582, -48.5956
276, 176.9812, -48.5798
277, 176.9826, -48.5654
278, 176.9595, -48.5812
279, 176.9609, -48.5668
280, 176.9351, -48.6114
281, 176.9365, -48.5970
282, 176.9134, -48.6129
283, 176.9148, -48.5985
284, 176.9379, -48.5827
285, 176.9392, -48.5683
286, 176.9162, -48.5841
287, 176.9176, -48.5697
288, 176.8862, -48.6718
289, 176.8876, -48.6574
290, 176.8645, -48.6732
291, 176.8659, -48.6589
292, 176.8890, -48.6431
293, 176.8903, -48.6287
294, 176.8673, -48.6445
295, 176.8686, -48.6301
296, 176.8427, -48.6747
297, 176.8441, -48.6603
298, 176.8210, -48.6761
299, 176.8224, -48.6617
300, 176.8455, -48.6459
301, 176.8469, -48.6315
