# nhpx, l , b
1929, 176.4581, -48.2279
1930, 176.4350, -48.2436
1931, 176.4365, -48.2292
1932, 176.4596, -48.2135
1933, 176.4611, -48.1991
1934, 176.4380, -48.2149
1935, 176.4395, -48.2005
1936, 176.5056, -48.1821
1937, 176.5071, -48.1677
1938, 176.4841, -48.1834
1939, 176.4856, -48.1690
1940, 176.5086, -48.1533
1941, 176.5100, -48.1389
1942, 176.4871, -48.1547
1943, 176.4885, -48.1403
1944, 176.4626, -48.1848
1945, 176.4641, -48.1704
1946, 176.4410, -48.1861
1947, 176.4425, -48.1717
1948, 176.4655, -48.1560
1949, 176.4670, -48.1416
1950, 176.4440, -48.1574
1951, 176.4455, -48.1430
1952, 176.4135, -48.2450
1953, 176.4150, -48.2306
1954, 176.3919, -48.2463
1955, 176.3935, -48.2319
1956, 176.4165, -48.2162
1957, 176.4180, -48.2018
1958, 176.3950, -48.2175
1959, 176.3965, -48.2032
1960, 176.3704, -48.2476
1961, 176.3719, -48.2333
1962, 176.3489, -48.2490
1963, 176.3504, -48.2346
1964, 176.3734, -48.2189
1965, 176.3750, -48.2045
1966, 176.3519, -48.2202
1967, 176.3534, -48.2058
1968, 176.4195, -48.1875
1969, 176.4210, -48.1731
1970, 176.3980, -48.1888
1971, 176.3995, -48.1744
1972, 176.4225, -48.1587
1973, 176.4240, -48.1443
1974, 176.4010, -48.1600
1975, 176.4025, -48.1457
1976, 176.3765, -48.1901
1977, 176.3780, -48.1758
1978, 176.3550, -48.1915
1979, 176.3565, -48.1771
1980, 176.3795, -48.1614
1981, 176.3810, -48.1470
1982, 176.3580, -48.1627
1983, 176.3595, -48.1483
1984, 176.5115, -48.1246
1985, 176.5130, -48.1102
1986, 176.4900, -48.1259
1987, 176.4915, -48.1115
1988, 176.5145, -48.0958
1989, 176.5159, -48.0814
1990, 176.4930, -48.0972
1991, 176.4945, -48.0828
1992, 176.4685, -48.1273
1993, 176.4700, -48.1129
1994, 176.4470, -48.1286
1995, 176.4485, -48.1142
1996, 176.4715, -48.0985
1997, 176.4730, -48.0841
1998, 176.4500, -48.0999
1999, 176.4515, -48.0855
2000, 176.5174, -48.0670
2001, 176.5189, -48.0527
2002, 176.4960, -48.0684
2003, 176.4974, -48.0540
2004, 176.5204, -48.0383
2005, 176.5218, -48.0239
2006, 176.4989, -48.0396
2007, 176.5004, -48.0253
2008, 176.4745, -48.0698
2009, 176.4760, -48.0554
2010, 176.4530, -48.0711
2011, 176.4545, -48.0567
2012, 176.4775, -48.0410
2013, 176.4789, -48.0266
2014, 176.4560, -48.0424
2015, 176.4575, -48.0280
2016, 176.4255, -48.1300
2017, 176.4270, -48.1156
2018, 176.4040, -48.1313
2019, 176.4056, -48.1169
2020, 176.4285, -48.1012
2021, 176.4300, -48.0868
2022, 176.4071, -48.1025
2023, 176.4086, -48.0882
2024, 176.3825, -48.1326
2025, 176.3841, -48.1183
2026, 176.3610, -48.1340
2027, 176.3626, -48.1196
2028, 176.3856, -48.1039
2029, 176.3871, -48.0895
2030, 176.3641, -48.1052
2031, 176.3656, -48.0908
2032, 176.4315, -48.0725
2033, 176.4330, -48.0581
2034, 176.4101, -48.0738
2035, 176.4116, -48.0594
2036, 176.4345, -48.0437
2037, 176.4360, -48.0293
2038, 176.4131, -48.0450
2039, 176.4146, -48.0307
2040, 176.3886, -48.0751
2041, 176.3901, -48.0608
2042, 176.3671, -48.0765
2043, 176.3686, -48.0621
2044, 176.3916, -48.0464
2045, 176.3931, -48.0320
2046, 176.3702, -48.0477
2047, 176.3717, -48.0333
2048, 176.2525, -48.9402
2049, 176.2541, -48.9258
2050, 176.2307, -48.9415
2051, 176.2323, -48.9272
2052, 176.2557, -48.9115
2053, 176.2573, -48.8971
2054, 176.2339, -48.9128
2055, 176.2354, -48.8984
2056, 176.2088, -48.9428
2057, 176.2104, -48.9285
2058, 176.1870, -48.9441
2059, 176.1886, -48.9298
2060, 176.2120, -48.9141
2061, 176.2136, -48.8997
2062, 176.1902, -48.9154
2063, 176.1918, -48.9010
2064, 176.2589, -48.8827
2065, 176.2604, -48.8684
2066, 176.2370, -48.8840
2067, 176.2386, -48.8697
2068, 176.2620, -48.8540
2069, 176.2636, -48.8396
2070, 176.2402, -48.8553
2071, 176.2418, -48.8409
2072, 176.2152, -48.8853
2073, 176.2168, -48.8710
2074, 176.1934, -48.8866
2075, 176.1950, -48.8723
2076, 176.2184, -48.8566
2077, 176.2200, -48.8422
2078, 176.1966, -48.8579
2079, 176.1982, -48.8435
2080, 176.1651, -48.9454
2081, 176.1667, -48.9311
2082, 176.1433, -48.9467
2083, 176.1449, -48.9323
2084, 176.1683, -48.9167
2085, 176.1700, -48.9023
2086, 176.1465, -48.9180
2087, 176.1481, -48.9036
2088, 176.1214, -48.9480
2089, 176.1231, -48.9336
2090, 176.0996, -48.9493
2091, 176.1012, -48.9349
2092, 176.1247, -48.9193
2093, 176.1263, -48.9049
2094, 176.1028, -48.9205
2095, 176.1044, -48.9062
2096, 176.1716, -48.8879
2097, 176.1732, -48.8736
2098, 176.1497, -48.8892
2099, 176.1513, -48.8749
2100, 176.1748, -48.8592
2101, 176.1764, -48.8448
2102, 176.1529, -48.8605
2103, 176.1545, -48.8461
2104, 176.1279, -48.8905
2105, 176.1295, -48.8761
2106, 176.1061, -48.8918
2107, 176.1077, -48.8774
2108, 176.1311, -48.8618
2109, 176.1327, -48.8474
2110, 176.1093, -48.8631
2111, 176.1109, -48.8487
2112, 176.2652, -48.8252
2113, 176.2667, -48.8109
2114, 176.2434, -48.8265
2115, 176.2449, -48.8122
2116, 176.2683, -48.7965
2117, 176.2699, -48.7821
2118, 176.2465, -48.7978
2119, 176.2481, -48.7834
2120, 176.2216, -48.8279
2121, 176.2231, -48.8135
2122, 176.1998, -48.8292
2123, 176.2013, -48.8148
2124, 176.2247, -48.7991
2125, 176.2263, -48.7847
2126, 176.2029, -48.8004
2127, 176.2045, -48.7860
2128, 176.2714, -48.7677
2129, 176.2730, -48.7534
2130, 176.2497, -48.7691
2131, 176.2512, -48.7547
2132, 176.2746, -48.7390
2133, 176.2761, -48.7246
2134, 176.2528, -48.7403
2135, 176.2544, -48.7259
2136, 176.2279, -48.7704
2137, 176.2295, -48.7560
2138, 176.2061, -48.7717
2139, 176.2077, -48.7573
2140, 176.2311, -48.7416
2141, 176.2326, -48.7272
2142, 176.2093, -48.7429
2143, 176.2109, -48.7285
2144, 176.1780, -48.8305
2145, 176.1796, -48.8161
2146, 176.1562, -48.8317
2147, 176.1578, -48.8174
2148, 176.1811, -48.8017
2149, 176.1827, -48.7873
2150, 176.1594, -48.8030
2151, 176.1610, -48.7886
2152, 176.1343, -48.8330
2153, 176.1360, -48.8187
2154, 176.1125, -48.8343
2155, 176.1142, -48.8200
2156, 176.1376, -48.8043
2157, 176.1392, -48.7899
2158, 176.1158, -48.8056
2159, 176.1174, -48.7912
2160, 176.1843, -48.7730
2161, 176.1859, -48.7586
2162, 176.1626, -48.7743
2163, 176.1642, -48.7599
2164, 176.1875, -48.7442
2165, 176.1891, -48.7298
2166, 176.1658, -48.7455
2167, 176.1674, -48.7311
2168, 176.1408, -48.7755
2169, 176.1424, -48.7612
2170, 176.1190, -48.7768
2171, 176.1206, -48.7625
2172, 176.1440, -48.7468
2173, 176.1456, -48.7324
2174, 176.1222, -48.7481
2175, 176.1238, -48.7337
2176, 176.0777, -48.9506
2177, 176.0794, -48.9362
2178, 176.0559, -48.9518
2179, 176.0575, -48.9375
2180, 176.0810, -48.9218
2181, 176.0826, -48.9075
2182, 176.0591, -48.9231
2183, 176.0608, -48.9087
2184, 176.0340, -48.9531
2185, 176.0356, -48.9387
2186, 176.0121, -48.9544
2187, 176.0138, -48.9400
2188, 176.0373, -48.9244
2189, 176.0389, -48.9100
2190, 176.0154, -48.9256
2191, 176.0171, -48.9113
2192, 176.0842, -48.8931
2193, 176.0859, -48.8787
2194, 176.0624, -48.8944
2195, 176.0640, -48.8800
2196, 176.0875, -48.8643
2197, 176.0891, -48.8500
2198, 176.0657, -48.8656
2199, 176.0673, -48.8513
2200, 176.0406, -48.8956
2201, 176.0422, -48.8813
2202, 176.0187, -48.8969
2203, 176.0204, -48.8825
2204, 176.0438, -48.8669
2205, 176.0455, -48.8525
2206, 176.0220, -48.8682
2207, 176.0237, -48.8538
2208, 175.9903, -48.9556
2209, 175.9919, -48.9413
2210, 175.9684, -48.9569
2211, 175.9701, -48.9425
2212, 175.9936, -48.9269
2213, 175.9952, -48.9125
2214, 175.9717, -48.9282
2215, 175.9734, -48.9138
2216, 175.9466, -48.9582
2217, 175.9482, -48.9438
2218, 175.9247, -48.9594
2219, 175.9264, -48.9450
2220, 175.9499, -48.9294
2221, 175.9516, -48.9150
2222, 175.9280, -48.9307
2223, 175.9297, -48.9163
2224, 175.9969, -48.8982
2225, 175.9986, -48.8838
2226, 175.9751, -48.8994
2227, 175.9767, -48.8851
2228, 176.0002, -48.8694
2229, 176.0019, -48.8551
2230, 175.9784, -48.8707
2231, 175.9800, -48.8563
2232, 175.9532, -48.9007
2233, 175.9549, -48.8863
2234, 175.9314, -48.9019
2235, 175.9331, -48.8876
2236, 175.9566, -48.8719
2237, 175.9582, -48.8576
2238, 175.9347, -48.8732
2239, 175.9364, -48.8588
2240, 176.0907, -48.8356
2241, 176.0924, -48.8212
2242, 176.0689, -48.8369
2243, 176.0706, -48.8225
2244, 176.0940, -48.8069
2245, 176.0956, -48.7925
2246, 176.0722, -48.8081
2247, 176.0738, -48.7938
2248, 176.0471, -48.8382
2249, 176.0488, -48.8238
2250, 176.0253, -48.8394
2251, 176.0270, -48.8251
2252, 176.0504, -48.8094
2253, 176.0520, -48.7950
2254, 176.0286, -48.8107
2255, 176.0302, -48.7963
2256, 176.0972, -48.7781
2257, 176.0988, -48.7637
2258, 176.0754, -48.7794
2259, 176.0771, -48.7650
2260, 176.1005, -48.7494
2261, 176.1021, -48.7350
2262, 176.0787, -48.7507
2263, 176.0803, -48.7363
2264, 176.0537, -48.7807
2265, 176.0553, -48.7663
2266, 176.0319, -48.7819
2267, 176.0335, -48.7676
2268, 176.0569, -48.7519
2269, 176.0585, -48.7376
2270, 176.0351, -48.7532
2271, 176.0368, -48.7388
2272, 176.0035, -48.8407
2273, 176.0052, -48.8263
2274, 175.9817, -48.8419
2275, 175.9833, -48.8276
2276, 176.0068, -48.8119
2277, 176.0084, -48.7976
2278, 175.9850, -48.8132
2279, 175.9867, -48.7988
2280, 175.9599, -48.8432
2281, 175.9615, -48.8288
2282, 175.9381, -48.8445
2283, 175.9397, -48.8301
2284, 175.9632, -48.8145
2285, 175.9649, -48.8001
2286, 175.9414, -48.8157
2287, 175.9431, -48.8014
2288, 176.0101, -48.7832
2289, 176.0117, -48.7688
2290, 175.9883, -48.7845
2291, 175.9900, -48.7701
2292, 176.0134, -48.7545
2293, 176.0150, -48.7401
2294, 175.9916, -48.7557
2295, 175.9932, -48.7414
2296, 175.9665, -48.7857
2297, 175.9682, -48.7714
2298, 175.9447, -48.7870
2299, 175.9464, -48.7726
2300, 175.9698, -48.7570
2301, 175.9715, -48.7426
2302, 175.9481, -48.7582
2303, 175.9497, -48.7439
2304, 176.2777, -48.7102
2305, 176.2793, -48.6959
2306, 176.2560, -48.7116
2307, 176.2575, -48.6972
2308, 176.2808, -48.6815
2309, 176.2824, -48.6671
2310, 176.2591, -48.6828
2311, 176.2607, -48.6684
2312, 176.2342, -48.7129
2313, 176.2358, -48.6985
2314, 176.2125, -48.7142
2315, 176.2140, -48.6998
2316, 176.2374, -48.6841
2317, 176.2389, -48.6698
2318, 176.2156, -48.6854
2319, 176.2172, -48.6711
2320, 176.2840, -48.6528
2321, 176.2855, -48.6384
2322, 176.2622, -48.6541
2323, 176.2638, -48.6397
2324, 176.2871, -48.6240
2325, 176.2886, -48.6096
2326, 176.2654, -48.6253
2327, 176.2669, -48.6109
2328, 176.2405, -48.6554
2329, 176.2421, -48.6410
2330, 176.2188, -48.6567
2331, 176.2204, -48.6423
2332, 176.2437, -48.6266
2333, 176.2452, -48.6123
2334, 176.2219, -48.6279
2335, 176.2235, -48.6136
2336, 176.1907, -48.7155
2337, 176.1923, -48.7011
2338, 176.1690, -48.7168
2339, 176.1706, -48.7024
2340, 176.1939, -48.6867
2341, 176.1955, -48.6724
2342, 176.1721, -48.6880
2343, 176.1737, -48.6737
2344, 176.1472, -48.7181
2345, 176.1488, -48.7037
2346, 176.1254, -48.7194
2347, 176.1271, -48.7050
2348, 176.1504, -48.6893
2349, 176.1520, -48.6749
2350, 176.1287, -48.6906
2351, 176.1303, -48.6762
2352, 176.1971, -48.6580
2353, 176.1986, -48.6436
2354, 176.1753, -48.6593
2355, 176.1769, -48.6449
2356, 176.2002, -48.6292
2357, 176.2018, -48.6149
2358, 176.1785, -48.6305
2359, 176.1801, -48.6162
2360, 176.1536, -48.6606
2361, 176.1552, -48.6462
2362, 176.1319, -48.6619
2363, 176.1335, -48.6475
2364, 176.1568, -48.6318
2365, 176.1584, -48.6175
2366, 176.1351, -48.6331
2367, 176.1367, -48.6188
2368, 176.2902, -48.5953
2369, 176.2918, -48.5809
2370, 176.2685, -48.5966
2371, 176.2701, -48.5822
2372, 176.2933, -48.5665
2373, 176.2949, -48.5521
2374, 176.2716, -48.5678
2375, 176.2732, -48.5535
2376, 176.2468, -48.5979
2377, 176.2484, -48.5835
2378, 176.2251, -48.5992
2379, 176.2267, -48.5848
2380, 176.2499, -48.5691
2381, 176.2515, -48.5548
2382, 176.2283, -48.5704
2383, 176.2298, -48.5561
2384, 176.2964, -48.5378
2385, 176.2980, -48.5234
2386, 176.2747, -48.5391
2387, 176.2763, -48.5247
2388, 176.2995, -48.5090
2389, 176.3011, -48.4946
2390, 176.2779, -48.5103
2391, 176.2794, -48.4960
2392, 176.2531, -48.5404
2393, 176.2546, -48.5260
2394, 176.2314, -48.5417
2395, 176.2330, -48.5273
2396, 176.2562, -48.5116
2397, 176.2578, -48.4973
2398, 176.2345, -48.5130
2399, 176.2361, -48.4986
2400, 176.2034, -48.6005
2401, 176.2050, -48.5861
2402, 176.1817, -48.6018
2403, 176.1833, -48.5874
2404, 176.2066, -48.5718
2405, 176.2081, -48.5574
2406, 176.1849, -48.5731
2407, 176.1865, -48.5587
2408, 176.1600, -48.6031
2409, 176.1616, -48.5887
2410, 176.1383, -48.6044
2411, 176.1399, -48.5900
2412, 176.1632, -48.5743
2413, 176.1648, -48.5600
2414, 176.1415, -48.5756
2415, 176.1431, -48.5613
2416, 176.2097, -48.5430
2417, 176.2113, -48.5286
2418, 176.1880, -48.5443
2419, 176.1896, -48.5299
2420, 176.2129, -48.5143
2421, 176.2145, -48.4999
2422, 176.1912, -48.5156
2423, 176.1928, -48.5012
2424, 176.1664, -48.5456
2425, 176.1680, -48.5312
2426, 176.1447, -48.5469
2427, 176.1463, -48.5325
2428, 176.1695, -48.5169
2429, 176.1711, -48.5025
2430, 176.1479, -48.5182
2431, 176.1495, -48.5038
2432, 176.1037, -48.7206
2433, 176.1053, -48.7063
2434, 176.0819, -48.7219
2435, 176.0836, -48.7075
2436, 176.1069, -48.6919
2437, 176.1085, -48.6775
2438, 176.0852, -48.6932
2439, 176.0868, -48.6788
2440, 176.0602, -48.7232
2441, 176.0618, -48.7088
2442, 176.0384, -48.7245
2443, 176.0401, -48.7101
2444, 176.0634, -48.6945
2445, 176.0651, -48.6801
2446, 176.0417, -48.6957
2447, 176.0433, -48.6814
2448, 176.1101, -48.6632
2449, 176.1118, -48.6488
2450, 176.0884, -48.6644
2451, 176.0900, -48.6501
2452, 176.1134, -48.6344
2453, 176.1150, -48.6200
2454, 176.0916, -48.6357
2455, 176.0933, -48.6213
2456, 176.0667, -48.6657
2457, 176.0683, -48.6513
2458, 176.0449, -48.6670
2459, 176.0466, -48.6526
2460, 176.0699, -48.6370
2461, 176.0715, -48.6226
2462, 176.0482, -48.6382
2463, 176.0498, -48.6239
2464, 176.0167, -48.7257
2465, 176.0183, -48.7114
2466, 175.9949, -48.7270
2467, 175.9965, -48.7126
2468, 176.0199, -48.6970
2469, 176.0216, -48.6826
2470, 175.9982, -48.6983
2471, 175.9998, -48.6839
2472, 175.9731, -48.7283
2473, 175.9748, -48.7139
2474, 175.9514, -48.7295
2475, 175.9530, -48.7151
2476, 175.9764, -48.6995
2477, 175.9781, -48.6851
2478, 175.9547, -48.7008
2479, 175.9563, -48.6864
2480, 176.0232, -48.6683
2481, 176.0248, -48.6539
2482, 176.0015, -48.6695
2483, 176.0031, -48.6551
2484, 176.0265, -48.6395
2485, 176.0281, -48.6251
2486, 176.0048, -48.6408
2487, 176.0064, -48.6264
2488, 175.9797, -48.6708
2489, 175.9814, -48.6564
2490, 175.9580, -48.6720
2491, 175.9597, -48.6577
2492, 175.9830, -48.6420
2493, 175.9847, -48.6277
2494, 175.9613, -48.6433
2495, 175.9630, -48.6289
2496, 176.1166, -48.6057
2497, 176.1182, -48.5913
2498, 176.0949, -48.6069
2499, 176.0965, -48.5926
2500, 176.1198, -48.5769
2501, 176.1214, -48.5626
2502, 176.0981, -48.5782
2503, 176.0997, -48.5638
2504, 176.0732, -48.6082
2505, 176.0748, -48.5939
2506, 176.0515, -48.6095
2507, 176.0531, -48.5951
2508, 176.0764, -48.5795
2509, 176.0780, -48.5651
2510, 176.0547, -48.5808
2511, 176.0563, -48.5664
2512, 176.1230, -48.5482
2513, 176.1246, -48.5338
2514, 176.1013, -48.5495
2515, 176.1029, -48.5351
2516, 176.1262, -48.5194
2517, 176.1278, -48.5051
2518, 176.1045, -48.5207
2519, 176.1061, -48.5064
2520, 176.0796, -48.5507
2521, 176.0813, -48.5364
2522, 176.0580, -48.5520
2523, 176.0596, -48.5376
2524, 176.0829, -48.5220
2525, 176.0845, -48.5076
2526, 176.0612, -48.5233
2527, 176.0628, -48.5089
2528, 176.0297, -48.6108
2529, 176.0314, -48.5964
2530, 176.0080, -48.6120
2531, 176.0097, -48.5977
2532, 176.0330, -48.5820
2533, 176.0346, -48.5677
2534, 176.0113, -48.5833
2535, 176.0129, -48.5689
2536, 175.9863, -48.6133
2537, 175.9880, -48.5989
2538, 175.9646, -48.6146
2539, 175.9663, -48.6002
2540, 175.9896, -48.5846
2541, 175.9913, -48.5702
2542, 175.9679, -48.5858
2543, 175.9696, -48.5714
2544, 176.0363, -48.5533
2545, 176.0379, -48.5389
2546, 176.0146, -48.5546
2547, 176.0162, -48.5402
2548, 176.0395, -48.5246
2549, 176.0411, -48.5102
2550, 176.0178, -48.5258
2551, 176.0195, -48.5114
2552, 175.9929, -48.5558
2553, 175.9945, -48.5415
2554, 175.9712, -48.5571
2555, 175.9729, -48.5427
2556, 175.9962, -48.5271
2557, 175.9978, -48.5127
2558, 175.9745, -48.5283
2559, 175.9761, -48.5140
2560, 175.9028, -48.9607
2561, 175.9045, -48.9463
2562, 175.8810, -48.9619
2563, 175.8826, -48.9475
2564, 175.9062, -48.9319
2565, 175.9079, -48.9175
2566, 175.8843, -48.9332
2567, 175.8860, -48.9188
2568, 175.8591, -48.9631
2569, 175.8608, -48.9488
2570, 175.8372, -48.9644
2571, 175.8389, -48.9500
2572, 175.8625, -48.9344
2573, 175.8642, -48.9200
2574, 175.8406, -48.9356
2575, 175.8423, -48.9213
2576, 175.9095, -48.9032
2577, 175.9112, -48.8888
2578, 175.8877, -48.9044
2579, 175.8894, -48.8901
2580, 175.9129, -48.8744
2581, 175.9146, -48.8601
2582, 175.8911, -48.8757
2583, 175.8928, -48.8613
2584, 175.8659, -48.9057
2585, 175.8676, -48.8913
2586, 175.8440, -48.9069
2587, 175.8457, -48.8925
2588, 175.8692, -48.8769
2589, 175.8709, -48.8626
2590, 175.8474, -48.8782
2591, 175.8491, -48.8638
2592, 175.8154, -48.9656
2593, 175.8171, -48.9512
2594, 175.7935, -48.9668
2595, 175.7952, -48.9524
2596, 175.8188, -48.9369
2597, 175.8205, -48.9225
2598, 175.7969, -48.9381
2599, 175.7986, -48.9237
2600, 175.7716, -48.9680
2601, 175.7733, -48.9537
2602, 175.7497, -48.9693
2603, 175.7515, -48.9549
2604, 175.7750, -48.9393
2605, 175.7768, -48.9249
2606, 175.7532, -48.9405
2607, 175.7549, -48.9262
2608, 175.8222, -48.9081
2609, 175.8239, -48.8938
2610, 175.8003, -48.9093
2611, 175.8020, -48.8950
2612, 175.8256, -48.8794
2613, 175.8273, -48.8650
2614, 175.8037, -48.8806
2615, 175.8055, -48.8662
2616, 175.7785, -48.9106
2617, 175.7802, -48.8962
2618, 175.7566, -48.9118
2619, 175.7584, -48.8974
2620, 175.7819, -48.8818
2621, 175.7836, -48.8675
2622, 175.7601, -48.8831
2623, 175.7618, -48.8687
2624, 175.9162, -48.8457
2625, 175.9179, -48.8313
2626, 175.8944, -48.8469
2627, 175.8961, -48.8326
2628, 175.9196, -48.8170
2629, 175.9213, -48.8026
2630, 175.8978, -48.8182
2631, 175.8995, -48.8038
2632, 175.8726, -48.8482
2633, 175.8743, -48.8338
2634, 175.8508, -48.8494
2635, 175.8525, -48.8351
2636, 175.8760, -48.8195
2637, 175.8777, -48.8051
2638, 175.8542, -48.8207
2639, 175.8559, -48.8063
2640, 175.9229, -48.7882
2641, 175.9246, -48.7739
2642, 175.9011, -48.7895
2643, 175.9028, -48.7751
2644, 175.9263, -48.7595
2645, 175.9279, -48.7451
2646, 175.9045, -48.7607
2647, 175.9062, -48.7464
2648, 175.8794, -48.7907
2649, 175.8810, -48.7764
2650, 175.8576, -48.7920
2651, 175.8592, -48.7776
2652, 175.8827, -48.7620
2653, 175.8844, -48.7476
2654, 175.8609, -48.7632
2655, 175.8626, -48.7489
2656, 175.8290, -48.8507
2657, 175.8307, -48.8363
2658, 175.8072, -48.8519
2659, 175.8089, -48.8375
2660, 175.8324, -48.8219
2661, 175.8341, -48.8076
2662, 175.8106, -48.8231
2663, 175.8123, -48.8088
2664, 175.7853, -48.8531
2665, 175.7870, -48.8387
2666, 175.7635, -48.8543
2667, 175.7652, -48.8400
2668, 175.7888, -48.8244
2669, 175.7905, -48.8100
2670, 175.7669, -48.8256
2671, 175.7687, -48.8112
2672, 175.8358, -48.7932
2673, 175.8375, -48.7788
2674, 175.8140, -48.7944
2675, 175.8157, -48.7800
2676, 175.8392, -48.7645
2677, 175.8408, -48.7501
2678, 175.8174, -48.7657
2679, 175.8191, -48.7513
2680, 175.7922, -48.7956
2681, 175.7939, -48.7813
2682, 175.7704, -48.7969
2683, 175.7721, -48.7825
2684, 175.7956, -48.7669
2685, 175.7973, -48.7525
2686, 175.7738, -48.7681
2687, 175.7755, -48.7538
2688, 175.7279, -48.9705
2689, 175.7296, -48.9561
2690, 175.7060, -48.9717
2691, 175.7077, -48.9573
2692, 175.7313, -48.9417
2693, 175.7331, -48.9274
2694, 175.7095, -48.9429
2695, 175.7112, -48.9286
2696, 175.6841, -48.9729
2697, 175.6859, -48.9585
2698, 175.6622, -48.9741
2699, 175.6640, -48.9597
2700, 175.6876, -48.9441
2701, 175.6893, -48.9298
2702, 175.6657, -48.9453
2703, 175.6675, -48.9310
2704, 175.7348, -48.9130
2705, 175.7365, -48.8986
2706, 175.7129, -48.9142
2707, 175.7147, -48.8998
2708, 175.7382, -48.8843
2709, 175.7400, -48.8699
2710, 175.7164, -48.8855
2711, 175.7181, -48.8711
2712, 175.6911, -48.9154
2713, 175.6928, -48.9011
2714, 175.6692, -48.9166
2715, 175.6710, -48.9023
2716, 175.6946, -48.8867
2717, 175.6963, -48.8723
2718, 175.6727, -48.8879
2719, 175.6745, -48.8735
2720, 175.6404, -48.9753
2721, 175.6421, -48.9609
2722, 175.6185, -48.9765
2723, 175.6202, -48.9621
2724, 175.6439, -48.9465
2725, 175.6456, -48.9322
2726, 175.6220, -48.9477
2727, 175.6238, -48.9334
2728, 175.5966, -48.9777
2729, 175.5984, -48.9633
2730, 175.5747, -48.9788
2731, 175.5765, -48.9645
2732, 175.6001, -48.9489
2733, 175.6019, -48.9346
2734, 175.5783, -48.9501
2735, 175.5800, -48.9357
2736, 175.6474, -48.9178
2737, 175.6491, -48.9035
2738, 175.6255, -48.9190
2739, 175.6273, -48.9046
2740, 175.6509, -48.8891
2741, 175.6526, -48.8747
2742, 175.6290, -48.8903
2743, 175.6308, -48.8759
2744, 175.6037, -48.9202
2745, 175.6054, -48.9058
2746, 175.5818, -48.9214
2747, 175.5836, -48.9070
2748, 175.6072, -48.8915
2749, 175.6090, -48.8771
2750, 175.5854, -48.8927
2751, 175.5871, -48.8783
2752, 175.7417, -48.8555
2753, 175.7434, -48.8412
2754, 175.7199, -48.8568
2755, 175.7216, -48.8424
2756, 175.7451, -48.8268
2757, 175.7469, -48.8124
2758, 175.7233, -48.8280
2759, 175.7251, -48.8137
2760, 175.6980, -48.8580
2761, 175.6998, -48.8436
2762, 175.6762, -48.8592
2763, 175.6780, -48.8448
2764, 175.7015, -48.8292
2765, 175.7032, -48.8149
2766, 175.6797, -48.8304
2767, 175.6814, -48.8161
2768, 175.7486, -48.7981
2769, 175.7503, -48.7837
2770, 175.7268, -48.7993
2771, 175.7285, -48.7849
2772, 175.7520, -48.7693
2773, 175.7537, -48.7550
2774, 175.7302, -48.7706
2775, 175.7320, -48.7562
2776, 175.7050, -48.8005
2777, 175.7067, -48.7861
2778, 175.6832, -48.8017
2779, 175.6849, -48.7873
2780, 175.7084, -48.7718
2781, 175.7102, -48.7574
2782, 175.6867, -48.7730
2783, 175.6884, -48.7586
2784, 175.6544, -48.8604
2785, 175.6561, -48.8460
2786, 175.6326, -48.8616
2787, 175.6343, -48.8472
2788, 175.6579, -48.8316
2789, 175.6596, -48.8173
2790, 175.6361, -48.8328
2791, 175.6378, -48.8185
2792, 175.6107, -48.8627
2793, 175.6125, -48.8484
2794, 175.5889, -48.8639
2795, 175.5907, -48.8496
2796, 175.6143, -48.8340
2797, 175.6160, -48.8197
2798, 175.5924, -48.8352
2799, 175.5942, -48.8208
2800, 175.6614, -48.8029
2801, 175.6631, -48.7885
2802, 175.6396, -48.8041
2803, 175.6413, -48.7897
2804, 175.6649, -48.7742
2805, 175.6666, -48.7598
2806, 175.6431, -48.7754
2807, 175.6448, -48.7610
2808, 175.6178, -48.8053
2809, 175.6195, -48.7909
2810, 175.5960, -48.8065
2811, 175.5977, -48.7921
2812, 175.6213, -48.7766
2813, 175.6230, -48.7622
2814, 175.5995, -48.7777
2815, 175.6012, -48.7634
2816, 175.9296, -48.7308
2817, 175.9313, -48.7164
2818, 175.9078, -48.7320
2819, 175.9095, -48.7176
2820, 175.9329, -48.7020
2821, 175.9346, -48.6877
2822, 175.9112, -48.7033
2823, 175.9129, -48.6889
2824, 175.8861, -48.7332
2825, 175.8878, -48.7189
2826, 175.8643, -48.7345
2827, 175.8660, -48.7201
2828, 175.8894, -48.7045
2829, 175.8911, -48.6901
2830, 175.8677, -48.7057
2831, 175.8694, -48.6914
2832, 175.9363, -48.6733
2833, 175.9379, -48.6589
2834, 175.9145, -48.6745
2835, 175.9162, -48.6602
2836, 175.9396, -48.6445
2837, 175.9412, -48.6302
2838, 175.9179, -48.6458
2839, 175.9195, -48.6314
2840, 175.8928, -48.6758
2841, 175.8944, -48.6614
2842, 175.8710, -48.6770
2843, 175.8727, -48.6626
2844, 175.8961, -48.6470
2845, 175.8978, -48.6327
2846, 175.8744, -48.6483
2847, 175.8761, -48.6339
2848, 175.8425, -48.7357
2849, 175.8442, -48.7214
2850, 175.8208, -48.7369
2851, 175.8225, -48.7226
2852, 175.8459, -48.7070
2853, 175.8476, -48.6926
2854, 175.8242, -48.7082
2855, 175.8259, -48.6938
2856, 175.7990, -48.7382
2857, 175.8007, -48.7238
2858, 175.7772, -48.7394
2859, 175.7789, -48.7250
2860, 175.8024, -48.7094
